;Classe;Département;Nombre individus
237;1897;lot-et-garonne;2781
238;1908;corse;2628
239;1908;correze;2874
240;1892;doubs;1892
241;1897;lot;1670
242;1908;cher;79
243;1908;charente-maritime;3252
244;1897;loiret;72
245;1908;charente;4442
246;1908;cantal;2211
247;1892;dordogne;3829
248;1897;loire-atlantique;5647
249;1908;calvados;0
250;1908;bouches-du-rhone;4804
251;1897;loire;0
252;1908;bas-rhin;2959
253;1908;aveyron;0
254;1892;deux-sevres;2382
255;1897;loir-et-cher;0
256;1908;aude;2300
257;1908;aube;834
258;1897;landes;1989
259;1908;ariege;1520
260;1908;ardennes;2673
261;1892;creuse;1881
262;1897;jura;1906
263;1908;ardeche;2085
264;1908;archives+nationales+d%27outre+mer;8742
265;1897;isere;4640
266;1908;archives+diplomatiques;315
267;1908;alpes-maritimes;2206
268;1892;cotes+d%27armor;5142
269;1897;indre-et-loire;1952
270;1908;alpes-de-haute-provence;942
271;1908;allier;0
272;1897;indre;3791
273;1908;aisne;1179
274;1908;ain;716
275;1892;cote+d%27or;0
276;1897;ille-et-vilaine;5938
277;1907;yvelines;0
278;1907;yonne;2408
279;1897;herault;285
280;1907;vosges;4472
281;1907;vienne;2342
282;1892;corse;2659
283;1897;hautes-pyrenees;3197
284;1907;vendee;3740
285;1907;vaucluse;1668
286;1897;hautes-alpes;1096
287;1907;var;1917
288;1907;territoire+de+belfort;2091
289;1892;correze;4289
290;1897;haute-vienne;4956
291;1907;tarn-et-garonne;1276
292;1907;tarn;3350
293;1897;haute-savoie;2675
294;1907;somme;1905
295;1907;seine-maritime;8013
296;1892;cher;0
297;1897;haute-saone;1760
298;1907;seine-et-marne;2860
299;1907;savoie;0
300;1897;haute-marne;1445
301;1907;sarthe;4313
302;1892;charente-maritime;3664
303;1897;haute-loire;2459
304;1907;rhone;0
305;1907;pyrenees-orientales;1826
306;1897;haute-garonne;3990
307;1907;pyrenees-atlantiques;3969
308;1907;puy-de-dome;964
309;1892;charente;2269
310;1897;haut-rhin;3086
311;1907;pas-de-calais;8746
312;1907;paris;24422
313;1897;guadeloupe;806
314;1907;orne;2285
315;1907;oise;0
316;1892;cantal;2437
317;1897;gironde;6230
318;1907;nord;0
319;1907;nievre;2367
320;1897;gers;1717
321;1907;moselle;0
322;1907;morbihan;4802
323;1892;calvados;0
324;1897;gard;4271
325;1907;meuse;3629
326;1907;meurthe-et-moselle;1528
327;1897;finistere;7258
328;1907;memoire+des+hommes;2516
329;1907;mayenne;2664
330;1892;bouches-du-rhone;3751
331;1897;eure-et-loir;50
332;1907;martinique;1121
333;1907;marne;5504
334;1897;eure;1651
335;1907;manche;1513
336;1907;maine-et-loire;0
337;1892;bas-rhin;48
338;1897;drome;2337
339;1907;lozere;0
340;1907;lot-et-garonne;1926
341;1897;doubs;1852
342;1907;lot;1672
343;1907;loiret;376
344;1892;aveyron;2595
345;1897;dordogne;3718
346;1907;loire-atlantique;5606
347;1907;loire;3170
348;1897;deux-sevres;2408
349;1907;loir-et-cher;0
350;1907;landes;2480
351;1892;aude;3942
352;1897;creuse;1766
353;1907;jura;414
354;1907;isere;0
355;1897;cotes+d%27armor;4950
356;1907;indre-et-loire;2540
357;1907;indre;2441
358;1892;aube;1923
359;1897;cote+d%27or;23
360;1907;ille-et-vilaine;5874
361;1907;herault;1448
362;1897;corse;2289
363;1907;hautes-pyrenees;2632
364;1907;hautes-alpes;1048
365;1892;ariege;2184
366;1897;correze;4161
367;1907;haute-vienne;3446
368;1907;haute-savoie;2249
369;1897;cher;2886
370;1907;haute-saone;2239
371;1907;haute-marne;1263
372;1892;ardennes;2680
373;1897;charente-maritime;3476
374;1907;haute-loire;2630
375;1907;haute-garonne;3168
376;1897;charente;2314
377;1907;haut-rhin;1536
378;1907;guadeloupe;1346
379;1892;ardeche;2139
380;1897;cantal;2498
381;1907;gironde;6050
382;1907;gers;1505
383;1897;calvados;0
384;1907;gard;4036
385;1907;finistere;7479
386;1892;archives+nationales+d%27outre+mer;5958
387;1897;bouches-du-rhone;3961
388;1907;eure-et-loir;700
389;1907;eure;1592
390;1897;bas-rhin;2533
391;1907;drome;2335
392;1907;doubs;1224
393;1892;archives+diplomatiques;0
394;1897;aveyron;2580
395;1907;dordogne;3859
396;1907;deux-sevres;2971
397;1897;aude;3786
398;1907;creuse;2174
399;1907;cotes+d%27armor;4541
400;1892;alpes-maritimes;0
